question,soru_tipi,graphrag_processing_time,graphrag_madde_precision,graphrag_madde_recall,graphrag_madde_f1,graphrag_faithfulness,graphrag_answer_relevancy,graphrag_semantic_similarity,graphrag_llm_context_precision_with_reference,graphrag_context_recall,graphrag_non_llm_context_recall,basicrag_processing_time,basicrag_madde_precision,basicrag_madde_recall,basicrag_madde_f1,basicrag_faithfulness,basicrag_answer_relevancy,basicrag_semantic_similarity,basicrag_llm_context_precision_with_reference,basicrag_context_recall,basicrag_non_llm_context_recall
Kasten öldürme ile taksirle öldürme suçlarının cezaları arasındaki fark nedir?,multi-hop,5.72,1.0,1.0,1.0,1.0,0.3606,0.9141,1.0,0.75,0.0,2.36,0.1,0.5,0.1667,0.75,0.3509,0.8921,1.0,0.5,0.0
Uyuşturucu madde kullanmak ile uyuşturucu ticareti arasındaki ceza farkı nedir?,multi-hop,4.54,0.0,0.0,0.0,0.0,0.5633,0.7881,0.0,0.0,0.0,3.75,0.2,1.0,0.3333,1.0,0.488,0.8791,1.0,0.75,0.0
Suç örgütü kurma ile silahlı örgüt kurma arasındaki ceza farkı nedir?,multi-hop,4.19,1.0,1.0,1.0,1.0,0.5341,0.9147,1.0,1.0,0.0,3.16,0.2,1.0,0.3333,0.8333,0.5799,0.9024,1.0,1.0,0.0
Rüşvet suçunda etkin pişmanlık halinde ceza verilir mi?,multi-hop,8.71,1.0,1.0,1.0,1.0,0.327,0.8398,1.0,1.0,0.0,5.16,0.2,1.0,0.3333,1.0,0.2983,0.8471,1.0,1.0,0.0
Yağma (Madde 148) ile hırsızlık (Madde 141) suçları arasındaki temel fark nedir?,multi-hop,5.84,0.5,1.0,0.6667,1.0,0.512,0.8954,1.0,1.0,0.0,4.28,0.2,1.0,0.3333,0.7778,0.4921,0.8887,1.0,1.0,0.0
Dolandırıcılık (Madde 157) ile nitelikli dolandırıcılık (Madde 158) arasındaki farklar nelerdir?,multi-hop,6.42,0.4,1.0,0.5714,1.0,0.7765,0.8328,1.0,1.0,0.0,3.44,0.2,1.0,0.3333,1.0,0.5428,0.8746,1.0,1.0,0.0
Zimmet (Madde 247) ile irtikap (Madde 250) suçları arasındaki fark nedir?,multi-hop,6.22,0.4,1.0,0.5714,1.0,0.3479,0.8771,1.0,1.0,0.0,3.71,0.2,1.0,0.3333,1.0,0.3205,0.9157,1.0,0.6667,0.0
Rüşvet (Madde 252) ile nüfuz ticareti (Madde 255) arasındaki fark nedir?,multi-hop,6.19,0.6667,1.0,0.8,1.0,0.1194,0.8471,1.0,1.0,1.0,5.65,0.2,1.0,0.3333,1.0,0.2714,0.8912,1.0,1.0,0.0
Rüşvet (Madde 252) ile görevi kötüye kullanma (Madde 257) suçları nasıl ayrışır?,multi-hop,5.78,1.0,1.0,1.0,0.8889,0.3927,0.8906,1.0,1.0,0.0,4.06,0.2,1.0,0.3333,1.0,0.2853,0.9079,1.0,1.0,0.0
İşkence (Madde 94) ile eziyet (Madde 96) suçları arasındaki fark nedir?,multi-hop,8.06,0.75,1.0,0.8571,1.0,0.3791,0.8211,1.0,1.0,0.0,4.87,0.3,1.0,0.4615,0.7273,0.4573,0.8196,1.0,1.0,0.0
Taksirle öldürme (Madde 85) ile kasten öldürme (Madde 81) suçlarının cezaları nasıl karşılaştırılır?,multi-hop,6.75,0.5,1.0,0.6667,1.0,0.4676,0.8536,1.0,1.0,0.0,3.34,0.2,1.0,0.3333,1.0,0.3608,0.8465,1.0,1.0,0.0
Zincirleme suç (Madde 43) ile fikri içtima (Madde 44) arasındaki fark nedir?,multi-hop,7.5,0.6667,1.0,0.8,1.0,0.5394,0.922,1.0,1.0,0.0,4.64,0.2,1.0,0.3333,1.0,0.7515,0.9153,1.0,1.0,0.0
Suça teşebbüs (Madde 35) ile gönüllü vazgeçme (Madde 36) arasındaki fark nedir?,multi-hop,7.09,1.0,1.0,1.0,0.8889,0.3186,0.8761,1.0,1.0,0.0,3.0,0.2,1.0,0.3333,1.0,0.5345,0.8828,1.0,1.0,0.0
Tehdit (Madde 106) ile şantaj (Madde 107) suçları arasındaki fark nedir?,multi-hop,8.5,0.6667,1.0,0.8,0.8,0.4172,0.8976,1.0,0.8,0.0,6.77,0.2,1.0,0.3333,0.7308,0.4337,0.9126,1.0,1.0,0.0
İftira (Madde 267) ile yalan tanıklık (Madde 272) suçları arasındaki fark nedir?,multi-hop,8.77,0.3333,1.0,0.5,0.875,0.4732,0.8965,1.0,1.0,0.0,4.24,0.2,1.0,0.3333,1.0,0.4058,0.9281,1.0,1.0,0.0
Nitelikli yağma suçunun silahla işlenmesi halinde haksız tahrik ve takdiri indirim uygulanırsa ceza nasıl belirlenir?,multi-hop,6.25,1.0,0.8,0.8889,0.4286,0.3497,0.871,1.0,1.0,0.0,3.18,0.3,0.6,0.4,0.8889,0.3414,0.8345,1.0,0.5,0.0
Kasten yaralama sonucunda mağdurun ölmesi halinde ceza ne olur?,multi-hop,4.32,1.0,1.0,1.0,0.6667,0.465,0.8872,1.0,1.0,1.0,1.65,0.2,1.0,0.3333,0.5,0.3994,0.8676,1.0,1.0,0.0
Gönüllü vazgeçme halinde fail cezalandırılır mı?,multi-hop,3.94,0.1429,1.0,0.25,1.0,0.3576,0.7749,1.0,1.0,0.0,2.6,0.2,1.0,0.3333,1.0,0.3582,0.8383,1.0,1.0,0.0
Haberleşmenin gizliliğini ihlal ile özel hayatın gizliliğini ihlal suçlarının cezaları arasındaki fark nedir?,multi-hop,5.08,1.0,1.0,1.0,1.0,0.5522,0.8641,1.0,1.0,0.0,4.44,0.2,1.0,0.3333,1.0,0.4991,0.9481,1.0,1.0,0.0
Kasten öldürme suçunun temel hali (Madde 81) ile tasarlayarak öldürme (Madde 82) arasındaki ceza farkı nedir?,multi-hop,4.4,0.6667,1.0,0.8,1.0,0.4294,0.9102,1.0,1.0,0.0,3.4,0.2,1.0,0.3333,1.0,0.437,0.9191,1.0,1.0,0.0
Kasten yaralama (Madde 86) sonucunda mağdurun ölmesi halinde faile hangi madde uyarınca ceza verilir?,multi-hop,4.65,1.0,1.0,1.0,1.0,0.416,0.8402,1.0,0.8,0.0,1.99,0.2,1.0,0.3333,1.0,0.3978,0.8821,1.0,0.8,0.0
"Bir kişi meşru savunma sınırlarını aşarak karşısındaki kişiyi öldürürse, TCK'ya göre hangi hükümler uygulanır?",reasoning,5.93,1.0,0.6667,0.8,0.7143,0.6201,0.8676,1.0,0.8,0.0,2.23,0.0,0.0,0.0,0.9091,-0.0,0.415,0.0,0.0,0.0
Özgü suçlarda bağlılık kuralı nasıl uygulanır ve kamu görevlisi olmayan bir kişi zimmet suçuna iştirak edebilir mi?,reasoning,4.68,0.6667,1.0,0.8,1.0,0.3303,0.8276,1.0,0.75,0.0,3.21,0.2,1.0,0.3333,0.5556,0.3695,0.9184,1.0,0.75,0.0
Türk Ceza Kanunu'nda hangi suçlar yabancı ülkede işlenmesi durumunda Türk kanunlarına tabi olur?,reasoning,2.92,0.0,0.0,0.0,0.25,0.0,0.6623,0.0,0.0,0.0,2.96,0.5,1.0,0.6667,1.0,0.6819,0.9687,1.0,0.9091,0.0
Gece vakti bir konuta girerek hırsızlık yapmanın cezası nedir?,reasoning,6.48,1.0,1.0,1.0,0.8333,0.5586,0.8308,1.0,0.5,0.0,4.69,0.3,1.0,0.4615,0.7143,0.5483,0.7991,1.0,0.75,0.0
Bir kişi aynı mağdura karşı farklı zamanlarda birden fazla hırsızlık suçu işlerse cezası nasıl hesaplanır?,reasoning,4.76,1.0,0.25,0.4,0.7143,0.6539,0.9083,1.0,0.6,0.0,2.94,0.2,0.5,0.2857,0.2857,0.6591,0.801,0.0,0.2,0.0
"Bir kişi kasten yaralama sonucunda mağdurun ölümüne neden olursa, bu durum kasten öldürmeden nasıl ayrılır ve ceza nasıl belirlenir?",reasoning,7.83,1.0,1.0,1.0,1.0,0.4838,0.849,1.0,0.5,1.0,3.14,0.2,0.6667,0.3077,1.0,0.4804,0.8273,1.0,0.3333,0.0
Sağır ve dilsiz bir kişi 16 yaşında kasten yaralama suçu işlerse hangi yaş grubu hükümleri uygulanır?,reasoning,5.2,1.0,0.5,0.6667,0.6667,0.5873,0.7875,1.0,0.6667,0.0,2.93,0.1,0.5,0.1667,0.125,0.6144,0.6977,0.0,0.0,0.0
"Bir baba, 11 yaşındaki çocuğunu hırsızlık yapmaya azmettirirse her ikisinin cezai durumu ne olur?",reasoning,5.43,0.0,0.0,0.0,0.4,0.6456,0.7597,1.0,0.0,0.0,5.26,0.2,0.5,0.2857,0.625,0.5598,0.7811,1.0,0.3333,0.0
Bir kişi tek bir fiille hem kasten yaralama hem de mala zarar verme suçunu işlerse fikri içtima nasıl uygulanır?,reasoning,4.88,0.5,0.3333,0.4,0.0,0.4423,0.8175,1.0,0.5,0.0,4.09,0.1,0.3333,0.1538,0.2222,0.5314,0.8672,1.0,0.0,0.0
Oldurmeye tesebbüs eden fail gönüllü vazgeçerse ancak mağduru yaralamışsa cezai durumu ne olur?,reasoning,5.43,0.6667,0.6667,0.6667,1.0,0.3836,0.7798,1.0,0.8333,0.0,3.24,0.1,0.3333,0.1538,0.1429,0.3819,0.7592,1.0,0.3333,0.0
Taksirle öldürme ile kasten öldürmeye teşebbüs arasındaki fark nedir?,reasoning,13.29,0.6,1.0,0.75,0.9,0.3176,0.8176,1.0,1.0,0.0,4.3,0.1,0.3333,0.1538,0.4444,0.7691,0.8303,1.0,0.25,0.0
Haksız tahrik altında kasten öldürme suçu işleyen kişinin cezası nasıl belirlenir?,reasoning,6.99,1.0,1.0,1.0,1.0,0.3681,0.7792,1.0,1.0,0.0,2.93,0.1,0.5,0.1667,0.8333,0.3742,0.7494,1.0,0.5,0.0
Bir kişi hırsızlık suçuna teşebbüs edip gönüllü olarak vazgeçerse cezai durumu ne olur?,reasoning,5.64,1.0,0.6667,0.8,0.8,0.4713,0.784,1.0,1.0,0.0,3.59,0.2,0.6667,0.3077,0.2857,0.5525,0.6893,1.0,0.3333,0.0
Bir kişi tek bir fiille hem yaralama hem de mala zarar verme suçunu işlerse hangi ceza uygulanır?,reasoning,6.24,0.0,0.0,0.0,1.0,0.5613,0.8106,1.0,0.6667,0.0,2.15,0.2,0.6667,0.3077,0.0,0.0,0.664,0.0,0.3333,0.0
Silah kullanılarak işlenen nitelikli yağma suçuna teşebbüs halinde ceza nasıl hesaplanır?,reasoning,5.88,1.0,0.5,0.6667,0.75,0.3902,0.8975,1.0,0.6667,0.0,2.49,0.2,0.5,0.2857,0.0,0.4887,0.827,1.0,0.5,0.0
Akıl hastası bir kişi kasten öldürme suçu işlerse TCK'ya göre ne yapılır?,reasoning,4.14,0.5,0.5,0.5,1.0,0.4873,0.8333,1.0,1.0,0.0,2.22,0.1,0.5,0.1667,0.5556,0.6049,0.8636,1.0,1.0,0.0
Bir kişi zorunluluk hali altında başkasının malını çalarsa cezai sorumluluğu ne olur?,reasoning,3.93,0.0,0.0,0.0,0.6,0.5003,0.7842,1.0,0.3333,0.0,2.42,0.0,0.0,0.0,1.0,0.4616,0.748,1.0,0.3333,0.0
Suça teşebbüs halinde ağırlaştırılmış müebbet hapis cezası nasıl uygulanır?,reasoning,9.23,0.3333,0.5,0.4,1.0,0.3711,0.8501,1.0,0.8,0.0,2.9,0.2,1.0,0.3333,1.0,0.3578,0.8204,1.0,1.0,0.0
Cezanın belirlenmesinde (Madde 61) ve takdiri indirim nedenlerinde (Madde 62) hangi ölçütler kullanılır?,reasoning,5.59,1.0,1.0,1.0,1.0,0.3269,0.7881,1.0,1.0,0.0,5.36,0.2,1.0,0.3333,1.0,0.3184,0.7999,1.0,1.0,0.0
Akıl hastası bir kişinin işlediği suçta güvenlik tedbirleri nasıl uygulanır ve bu kişi ne zaman serbest bırakılır?,reasoning,4.87,0.5,1.0,0.6667,1.0,0.4185,0.776,1.0,1.0,0.0,5.41,0.1,1.0,0.1818,1.0,0.4315,0.7442,1.0,1.0,0.0
Hapis cezasının ertelenmesi hangi koşullarda mümkündür ve tekerrür halinde erteleme uygulanabilir mi?,reasoning,8.06,1.0,1.0,1.0,0.8571,0.3746,0.8541,1.0,0.75,0.0,3.09,0.1,0.5,0.1667,0.7143,0.0,0.8611,1.0,0.75,0.0
Hırsızlık suçunda etkin pişmanlık gösterilmesi halinde ceza indirimi nasıl uygulanır ve kovuşturma aşamasına göre indirim oranı nasıl değişir?,reasoning,6.25,1.0,1.0,1.0,1.0,0.436,0.8644,1.0,1.0,0.0,2.7,0.1,1.0,0.1818,1.0,0.4382,0.8482,1.0,1.0,0.0
İştirak halinde işlenen suçlarda gönüllü vazgeçme ile bireysel gönüllü vazgeçme arasındaki fark nedir?,reasoning,6.15,1.0,1.0,1.0,0.7143,0.4094,0.8647,1.0,1.0,0.0,3.98,0.2,1.0,0.3333,1.0,0.4272,0.8771,1.0,1.0,0.0
Hırsızlığın daha az cezayı gerektiren halleri ile nitelikli hırsızlık arasında nasıl ayrım yapılır?,reasoning,5.12,0.5714,1.0,0.7273,1.0,0.4435,0.8335,1.0,1.0,0.0,3.9,0.3,0.75,0.4286,1.0,0.4804,0.8375,1.0,1.0,0.0
Kasten öldürmenin ihmali davranışla işlenmesi nedir ve kasten öldürmenin temel halinden ceza açısından nasıl ayrılır?,reasoning,5.87,1.0,1.0,1.0,1.0,0.4802,0.8515,1.0,1.0,0.0,2.73,0.1,0.5,0.1667,0.75,0.4376,0.8372,1.0,0.6667,0.0
Hükümlünün kaçması ile hükümlünün kaçmasını sağlama suçlarının cezaları nasıl farklılaşır ve kaçanın yakınlarına özel bir indirim uygulanır mı?,reasoning,9.23,0.1429,0.6667,0.2353,1.0,0.3433,0.8205,1.0,0.75,0.0,2.42,0.2,0.6667,0.3077,1.0,0.3285,0.8488,1.0,0.75,0.0
Uyuşturucu madde ticareti suçunun örgütlü olarak işlenmesi halinde suç örgütü hükümleri nasıl uygulanır?,reasoning,5.2,0.0,0.0,0.0,0.2,0.0,0.7338,0.0,0.0,0.0,2.29,0.2,1.0,0.3333,1.0,0.5956,0.8288,1.0,1.0,0.0
Birden fazla kişi tarafından silahla yağma suçu işlenirse ceza ne olur?,reasoning,4.93,1.0,0.5,0.6667,0.6667,0.4453,0.873,1.0,1.0,0.0,2.63,0.2,1.0,0.3333,1.0,0.4308,0.9088,1.0,1.0,0.0
Kasten öldürme suçu tasarlayarak ve bir çocuğa karşı işlenirse cezası ne olur?,reasoning,5.11,1.0,1.0,1.0,1.0,0.5442,0.902,1.0,0.6667,0.0,1.57,0.1,0.5,0.1667,1.0,0.5204,0.8914,1.0,1.0,0.0
15 yaşından küçük bir çocuk kasten yaralama suçu işlerse cezai sorumluluğu nasıl belirlenir?,reasoning,7.08,0.5,0.5,0.5,1.0,0.5715,0.8009,1.0,0.8333,0.0,3.48,0.2,1.0,0.3333,1.0,0.5811,0.7526,1.0,1.0,0.0
Bir kamu görevlisi görevini kötüye kullanarak rüşvet alırsa hangi maddeler uygulanır?,reasoning,8.9,0.6667,0.6667,0.6667,1.0,0.4481,0.7609,1.0,0.8,0.0,3.91,0.3,1.0,0.4615,0.8,0.4682,0.7818,1.0,0.8,0.0
Tekerrür halinde bulunan bir kişi hırsızlık suçu işlerse cezası nasıl etkilenir?,reasoning,5.53,1.0,0.5,0.6667,0.6667,0.5407,0.8884,1.0,0.75,0.0,2.8,0.1,0.5,0.1667,0.0,0.0,0.734,0.0,0.25,0.0
Kast ile taksir arasındaki fark nedir ve bu fark cezalandırmayı nasıl etkiler?,reasoning,5.39,1.0,1.0,1.0,1.0,0.2171,0.8653,1.0,1.0,0.0,4.6,0.2,1.0,0.3333,0.6,0.3314,0.8892,1.0,1.0,0.0
Hükümlünün kaçmasını sağlayan kişi fail olarak mı yoksa yardım eden olarak mı cezalandırılır ve yakını ise cezası nasıl etkilenir?,reasoning,5.23,0.1,0.25,0.1429,0.6667,0.4324,0.6147,0.0,0.0,0.0,2.76,0.0,0.0,0.0,0.8,0.4169,0.5971,1.0,0.0,0.0
Bir kişi nitelikli dolandırıcılık suçunu zincirleme olarak işlerse cezası nasıl hesaplanır?,reasoning,5.33,1.0,0.6667,0.8,0.7778,0.4014,0.8373,1.0,1.0,0.0,4.29,0.2,0.6667,0.3077,0.4286,0.0,0.7791,1.0,0.5,0.0
